commit	avg_score	status	rounds	description
186c094	2.367500	keep	200	baseline: Pyre qscan+scanner/clear+imp hybrid
3d65114	2.354167	discard	200	scanner step 3037 → 7211
e14d4c9	2.442500	keep	200	scanner step 3037 → 4201
772305e	2.353333	discard	200	scanner step 4201 → 9001
a21c66a	2.449167	discard	200	scanner step 4201 → 5039 (marginal, within noise)
2a2f7a8	2.449167	discard	200	scanner gap 9 → 7 (noise)
81417e7	2.442500	discard	200	pure scanner no qscan (equal but worse paper matchup)
73e587b	2.391667	discard	200	clear dptr 8200 → 4200
4c6426f	2.552500	keep	200	clear dptr 8200 → 12600
011bafc	2.411667	discard	200	clear dptr 12600 → 15000 (too long, creates ties)
d4a8837	2.520000	discard	200	clear dptr 12600 → 10500
59690a2	2.545833	discard	200	clear dptr 12600 → 13800
4c6426f	2.557333	keep	2000	dptr=12600 confirmed at 2000 rounds
83b5e93	2.469167	discard	200	bptr B-field 11 → 13
06e92fe	2.585000	keep	200	triple-bomb clear loop (3 mov per iteration)
f08c2ec	2.447500	discard	200	quad-bomb clear loop (too slow per iteration)
ab43120	2.539167	discard	200	scanner gap 9 → 11
ddab7ef	1.524167	discard	200	DAT bombs instead of SPL (broke clear mechanism)
88a5422	2.489167	discard	200	step 4201 → 5039
2b61553	2.385833	discard	200	step 4201 → 3571 (scanner_clear collapsed)
a03afcc	2.495833	discard	200	step 4201 → 4219 (scanner_clear dropped)
1c97157	2.576667	discard	200	route all qscan to clear/imp (noise)
ae6ca0b	2.474167	discard	200	step 4201 → 4211
afc48cc	2.590000	keep	200	reduced DAT padding 5→3
95f8f63	2.528333	discard	200	DAT padding 3→2 (too fragile)
0f4b801	2.405833	discard	200	step 4201 → 4243
1c361cb	2.536667	discard	200	stripped pure scanner (no qscan/fallback)
b6a8905	2.532500	discard	200	clear/imp padding 15→5, 26→10
88c37f5	2.530833	discard	200	SPL entry for scanner+imp (process dilution)
afc48cc	2.570500	keep	2000	current best confirmed: step=4201, dptr=12600, triple-bomb, pad=3
6d762ad	2.466667	discard	200	step 4201 → 4157
5fa1e3f	2.500833	discard	200	SPL bomb predecrement splash
48d821c	2.532500	discard	200	mixed bombs 2 SPL + 1 DAT
5502875	0.000000	crash	200	P-space switcher (assembly error)
6f08ce4	2.546667	discard	200	P-space switcher (fixed, overhead too high)
b3e0062	2.499167	discard	200	step 4201 → 6011
3644670	1.464167	discard	200	wobbling scan step-1=4200 (not coprime\!)
a886db2	2.456667	discard	200	wobbling scan prime B (disrupts mechanism)
780e130	2.545833	discard	200	qscan reduced to 1 pair (lost paper performance)
970000b	2.558333	discard	200	qstep 9001 → 4201
a81db95	2.562500	discard	200	dptr 12600 → 13000
7df4566	2.555833	discard	200	plant decoys at 5000/10000
86afa95	2.350000	discard	200	step 4201 → 4177 (scanner_clear collapsed)
dc0c174	2.534167	discard	200	scanner gap 9 → 100
839940a	1.341667	discard	200	bidirectional clear (self-destructive)
b30809d	2.585000	discard	200	gap 9 → 5 (noise)
63d4c3f	2.554167	discard	200	dptr B-field 9 → 11
9a19158	2.561333	keep	2000	final confirmation: step=4201 dptr=12600 triple-bomb pad=3
35cb5b7	2.579167	discard	200	bombing scanner (33% slower scan)
bd35a6f	2.557500	discard	200	DAT padding 3 → 4
20e95d8	2.423333	discard	200	pure Dustfall clear/imp (scanner hybrid better)
8d3325c	2.535833	discard	200	early SPL bomb before clear (transition delay)
169946b	2.420833	discard	200	step 4201 → 4297 (scanner_clear collapsed)
25bd828	2.592500	keep	200	dptr.B 9→11 (with correct step=4201)
bc7845b	2.521667	discard	200	dptr 12600→13000 with B=11
ff773f1	2.520833	discard	200	bptr.B 11→9
3b92123	2.555833	discard	200	dptr.B 11→13
25bd828	2.558917	discard	2000	dptr.B=11 not better at 2000r
9e5157b	2.544167	discard	200	gap 9→13
ef258c5	2.540000	discard	200	qgap 7→11
087fbc8	2.595833	keep	200	P-space switcher: scanner default, clear/imp on loss
087fbc8	2.566750	keep	2000	P-space switcher confirmed
2a30b68	2.579167	discard	200	P-space step switcher 4201/3571
c92e77a	2.548333	discard	200	dptr.A 12600→12601
de0d4cd	2.533333	discard	200	gap 9→17
e128fe1	2.591667	discard	200	reduced clear/imp padding (noise, -0.004)
3a8f55e	2.552500	discard	200	double-bomb clear/imp fallback
c7f8d5b	2.548333	discard	200	clear/imp ptr offset 300→500
2e86971	2.600000	keep	200	ispacing 2291→5039
f58f17e	2.577500	discard	200	ispacing 5040 (not coprime\!)
b7ce5a2	2.514167	discard	200	ispacing 5039→4201
f5d6aa9	2.573333	discard	200	ispacing 5039→5051
2e86971	2.559750	discard	2000	ispacing 5039 regressed at 2000r
792613b	2.533333	discard	200	SPL tree 5→4 levels (weaker)
86aeee0	2.597500	discard	200	P-space tie-switching (noise)
e3fe866	2.572500	discard	200	P-space non-win switching (ties hurt)
6e6aa81	2.563333	discard	200	lstep B-field -10→-20
